subject,effort_level,difficulty_level,guessing_frequency,self_comparison_performance,self_comparison_decisions,decision_regret_frequency,gpa,payment_belief,gender,ethnicity,religion,practicing_religion,first_language,age,childhood_environment,political_orientation,sexual_orientation,parents_marital_status, BFI_extraversion,BFI_agreeableness,BFI_Conscientiounsness ,BFI_Neuroticism,BFI_openess,BIS_attentional_2nd_order,BIS_attentional,BIS_cognitive_instability,BIS_motor_2nd_order,BIS_motor,BIS_perseverance,BIS_nonplanning_2nd_order,BIS_self_control,BIS_cognitive_complexity,BIS_total_score,REI_rational_ability,REI_rational_engagement,REI_experiential_ability,REI_experiential_engagement,General_Numeracy_scale_correct,Expanded_Numeracy_scale_correct,Numeracy_total_correct,gng_error_rate,gng_error_rate_go_target,gng_error_rate_nogo_target,gng_error_vertical_cue,gng_error_horizontal_cue,gng_omission_error_v,gng_inhibition_error_v,gng_omission_error_h,gng_inhibition_error_h,gng_mean_rt,gng_mean_rt_vertical_cue_go_target,gng_mean_rt_horizontal_cue_go_target,nBack_values_total_hits,nBack_values_total_FA,nBack_values_DV
121,9,6,1,9,5,6,3.5,Yes,Male,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Atheist,Yes,Mandarin,18,Suburban,Conservative,Primarily heterosexual,Other,22,31,26,24,39,21,12,9,22,19,3,27,16,11,70,3.7,3.1,3.6,3.4,0.75,1,0.916666667,0,0,0,0,0,0,0,0,0,375.75,372.375,389.25,14,3,3.666666667
122,7,3,2,8,6,3,2.5,Yes,Male,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Other,No,French,20,Urban,Moderate,Primarily homosexual,Married,13,31,29,13,31,21,11,10,13,9,4,18,12,6,52,4.3,4.5,3.1,2,1,0.875,0.916666667,0,0,0,0,0,0,0,0,0,307.925,305.75,316.625,15,5,3.333333333
123,9,2,1,9,6,3,4,Yes,Female,Multi-racial,Catholic,No,English,17,Suburban,Liberal,Primarily homosexual,Divorced,34,31,30,27,34,20,14,6,25,21,4,22,14,8,67,3.5,3.5,3.4,3.4,0.5,0.875,0.75,0,0,0,0,0,0,0,0,0,308.95,303.25,331.75,5,1,1.333333333
124,7,3,3,6,6,5,2.5,Yes,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Muslim,Yes,Hindi,18,Urban,Very liberal,Primarily heterosexual,Married,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,7,6,5,4,5,7,3.3,No,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Hindu,Yes,Tamil,18,Small town,Prefer not to answer,Primarily heterosexual,Never married,31,34,27,23,36,22,15,7,26,22,4,29,16,13,77,3.2,2.6,2.6,2.7,0.5,0.625,0.583333333,0.025,0,0.05,0.025,0.025,0,0.125,0,0.03125,304.725,304.875,304.125,13,3,3.333333333
126,7,5,1,6,6,5,3.5,Yes,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Muslim,Yes,Hindi,18,Other,Liberal,Primarily heterosexual,Never married,35,24,21,23,42,20,14,6,27,21,6,29,18,11,76,2.9,2.9,3,2.9,0.75,0.75,0.75,0.15,0.25,0.05,0.225,0.075,0.25,0.125,0.25,0.03125,369.9666667,355.7916667,426.6666667,5,9,-1.333333333
127,6,3,2,6,7,7,3.7,Yes,Male,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Catholic,Yes,Other,18,Rural,Conservative,Primarily heterosexual,Married,33,38,35,23,46,21,11,10,26,20,6,28,18,10,75,4,3.6,3,2.7,1,0.875,0.916666667,0.5,0.9,0.1,0.725,0.275,0.875,0.125,1,0.09375,236.25,236.25,nan,8,7,0.333333333
128,8,5,6,4,5,6,3.1,Yes,Female,African Canadian/Carribean Canadian/Black,Catholic,No,English,18,Suburban,Liberal,Primarily heterosexual,Divorced,26,37,30,22,33,20,13,7,22,17,5,24,12,12,66,2.9,2.8,3.8,3.2,0,0.125,0.083333333,0.0125,0,0.025,0.025,0,0,0.125,0,0,354.175,358.8125,335.625,7,7,0
130,6,7,5,5,5,7,2.5,No,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Muslim,Yes,Other,19,Rural,Moderate,Prefer not to answer,Married,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,9,2,2,8,8,5,4,No,Male,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Atheist,No,Mandarin,18,Urban,Moderate,Primarily heterosexual,Married,19,28,28,14,35,15,9,6,15,10,5,19,13,6,49,4.4,3.9,2.8,2.8,1,1,1,0,0,0,0,0,0,0,0,0,326.7,326.84375,326.125,17,3,4.666666667
132,8,6,6,8,8,3,3.6,Yes,Male,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Muslim,Yes,Other,18,Other,Prefer not to answer,Primarily heterosexual,Married,37,36,23,10,37,21,14,7,25,20,5,25,17,8,71,4.3,4.8,3.1,3.1,0,1,0.666666667,0.0125,0,0.025,0,0.025,0,0,0,0.03125,315.55,310.78125,334.625,8,4,1.333333333
133,9,5,2,9,9,3,4,Yes,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Atheist,Yes,English,17,Rural,Moderate,Primarily heterosexual,Divorced,26,35,38,24,42,14,8,6,17,13,4,19,8,11,50,4.2,4,2.9,2.9,0.75,0.75,0.75,0.0125,0,0.025,0.025,0,0,0.125,0,0,341.425,340.96875,343.25,14,24,-3.333333333
134,9,5,3,7,7,3,3.7,No,Female,Caucasian/White,Catholic,No,English,18,Small town,Liberal,Primarily heterosexual,Never married,36,37,30,29,35,26,15,11,34,26,8,26,13,13,86,2.7,3,3.4,2.1,0.75,0.75,0.75,0.5,1,0,0.8,0.2,1,0,1,0,nan,nan,nan,12,31,-6.333333333
135,7,7,4,7,7,5,2.7,No,Male,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Atheist,No,English,20,Urban,Moderate,Primarily heterosexual,Divorced,32,36,25,16,36,19,12,7,24,20,4,30,16,14,73,3.6,3.2,3.4,2.5,0.75,0.75,0.75,0.5,1,0,0.8,0.2,1,0,1,0,nan,nan,nan,10,7,1
136,8,5,5,9,9,1,2,No,Male,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Prefer not to answer,No,Mandarin,24,Urban,Moderate,Prefer not to answer,Married,21,30,28,20,29,19,12,7,20,15,5,22,11,11,61,3.5,3.8,3.4,2.8,0.25,0.875,0.666666667,0.5125,1,0.025,0.8,0.225,1,0,1,0.03125,nan,nan,nan,7,13,-2
137,6,1,3,6,9,2,3.18,No,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Other,No,Mandarin,18,Other,Moderate,Primarily heterosexual,Married,29,38,37,16,36,19,11,8,17,10,7,14,9,5,50,4.4,4.6,3,2.8,0.75,0.75,0.75,0,0,0,0,0,0,0,0,0,295.275,294.71875,297.5,12,7,1.666666667
138,9,7,4,7,7,7,2.88,Yes,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Muslim,Yes,English,18,Other,Prefer not to answer,Prefer not to answer,Married,35,33,24,26,40,14,10,4,19,15,4,23,14,9,56,3.8,3.7,3.6,2.3,0.5,0.75,0.666666667,0.0375,0,0.075,0.025,0.05,0,0.125,0,0.0625,336.95,336.6875,338,11,11,0
139,9,7,3,8,8,3,4,No,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Buddhist,No,Mandarin,18,Suburban,Moderate,Primarily heterosexual,Married,22,27,39,25,37,16,10,6,14,10,4,19,11,8,49,3.7,3.4,2,2.4,0.5,0.875,0.75,0.0125,0,0.025,0,0.025,0,0,0,0.03125,309.825,308.90625,313.5,13,5,2.666666667
140,9,6,5,6,7,3,3.4,No,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Catholic,Yes,English,18,Suburban,Liberal,Primarily heterosexual,Married,22,32,32,22,37,15,9,6,14,11,3,18,12,6,47,3.7,3.4,3.1,3,0.25,1,0.75,0,0,0,0,0,0,0,0,0,330.2,325.84375,347.625,9,6,1
141,9,6,5,6,5,5,2.5,No,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Prefer not to answer,No,Mandarin,19,Urban,Moderate,Primarily heterosexual,Married,21,34,26,27,36,17,10,7,18,14,4,26,16,10,61,2.7,2.5,2.9,2.4,0.25,0.5,0.416666667,0,0,0,0,0,0,0,0,0,336.4,332.8125,350.75,7,6,0.333333333
142,9,6,3,7,7,4,2.5,Yes,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Catholic,Yes,French,18,Urban,Prefer not to answer,Primarily heterosexual,Other,32,22,33,24,39,18,11,7,16,12,4,13,8,5,47,4,3.5,2.1,2.7,0.5,0.625,0.583333333,0,0,0,0,0,0,0,0,0,322.275,329.875,291.875,7,1,2
143,8,8,4,2,5,6,2.3,Yes,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Catholic,Yes,English,18,Urban,Liberal,Primarily heterosexual,Other,22,38,35,26,33,18,10,8,17,14,3,20,13,7,55,3.3,3.8,2.9,3.1,0.5,0.875,0.75,0,0,0,0,0,0,0,0,0,266.425,265.625,269.625,11,11,0
144,8,5,4,5,5,5,3.8,No,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Catholic,Yes,Cantonese,18,Other,Moderate,Prefer not to answer,Never married,19,30,33,26,30,16,10,6,15,11,4,22,13,9,53,3.3,3,2.5,2.9,1,1,1,0,0,0,0,0,0,0,0,0,391.65,391.84375,390.875,4,0,1.333333333
145,7,6,8,5,6,4,2.35,Yes,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Muslim,Yes,Other,18,Urban,Very liberal,Primarily heterosexual,Divorced,19,35,31,26,30,13,10,3,17,14,3,24,13,11,54,3.6,2.9,3,3,0.5,0.875,0.75,0.025,0,0.05,0.05,0,0,0.25,0,0,307.475,313.3125,284.125,6,2,1.333333333
146,9,8,8,2,4,6,1.87,No,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Muslim,Yes,English,19,Urban,Prefer not to answer,Prefer not to answer,Married,30,36,27,26,31,16,11,5,20,14,6,18,12,6,54,3.2,3.7,3,2.8,0.25,0.125,0.166666667,0,0,0,0,0,0,0,0,0,375.875,364.625,420.875,12,16,-1.333333333
147,6,2,3,6,6,3,3.8,No,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Muslim,Yes,Tagalog,18,Urban,Liberal,Primarily heterosexual,Married,27,38,33,15,41,19,11,8,26,19,7,25,15,10,70,4.2,4.2,3.2,3.2,0.75,1,0.916666667,0.5,1,0,0.8,0.2,1,0,1,0,nan,nan,nan,15,12,1
148,9,8,4,7,6,8,3.75,No,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Atheist,No,Other,18,Urban,Liberal,Primarily heterosexual,Married,27,35,28,28,36,19,10,9,21,14,7,21,12,9,61,2.8,2.7,2.8,2.6,0.5,0.875,0.75,0.0375,0,0.075,0,0.075,0,0,0,0.09375,299.275,300.90625,292.75,10,8,0.666666667
149,9,6,5,5,4,8,3.6,No,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Prefer not to answer,No,Mandarin,18,Other,Prefer not to answer,Primarily heterosexual,Never married,23,33,31,27,38,18,10,8,25,18,7,25,14,11,68,3.5,3.2,2.6,2.9,0.5,1,0.833333333,0.5,0.95,0.05,0.75,0.25,0.9375,0,1,0.0625,592.5,592.5,nan,11,18,-2.333333333
150,9,4,4,6,5,6,1.5,Yes,Female,Other,Muslim,Yes,French,18,Urban,Moderate,Primarily heterosexual,Divorced,22,32,23,25,34,13,8,5,20,16,4,24,13,11,57,3.7,3.7,2.3,1.8,1,1,1,0.5,0.475,0.525,0.55,0.45,0.53125,0.625,0.25,0.5,391.047619,395.0666667,381,16,6,3.333333333
151,7,7,4,6,7,4,3.7,No,Female,Multi-racial,Catholic,Yes,English,18,Other,Liberal,Primarily heterosexual,Married,31,35,36,18,38,15,10,5,20,15,5,21,12,9,56,3.6,3.6,3.3,3.6,0.75,0.875,0.833333333,0.0125,0,0.025,0,0.025,0,0,0,0.03125,280.925,278.84375,289.25,13,4,3
152,2,8,8,2,5,3,3.43,No,Male,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Atheist,No,Tamil,18,Urban,Liberal,Primarily heterosexual,Married,23,35,31,24,29,17,9,8,23,17,6,22,12,10,62,3.1,3.2,2.5,2.5,0.5,0.25,0.333333333,0.025,0.05,0,0.05,0,0.0625,0,0,0,335.0526316,332.8666667,343.25,10,17,-2.333333333
153,5,7,8,3,7,5,3.88,No,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Hindu,Yes,English,18,Urban,Moderate,Primarily heterosexual,Married,21,37,29,21,34,17,10,7,17,12,5,25,14,11,59,3.3,2.8,3.3,2.6,0.5,1,0.833333333,0.0125,0,0.025,0,0.025,0,0,0,0.03125,314.125,309.25,333.625,8,10,-0.666666667
154,9,9,7,4,4,8,3.6,No,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Hindu,Yes,English,18,Rural,Prefer not to answer,Primarily heterosexual,Prefer not to answer,28,35,23,31,32,19,12,7,18,15,3,28,19,9,65,3.2,2.8,2.9,2.9,0.25,0.5,0.416666667,0.5,1,0,0.8,0.2,1,0,1,0,nan,nan,nan,11,5,2
156,6,5,4,6,6,5,1.96,No,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Hindu,Yes,Tamil,19,Rural,Prefer not to answer,Prefer not to answer,Married,22,34,31,23,34,19,11,8,28,19,9,23,13,10,70,3,3,2.9,2.8,0.5,0.5,0.5,0.0375,0,0.075,0.025,0.05,0,0.125,0,0.0625,350.275,348.28125,358.25,14,21,-2.333333333
157,6,6,5,7,6,2,2.94,No,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Atheist,No,English,18,Urban,Prefer not to answer,Primarily heterosexual,Never married,29,25,19,25,34,21,14,7,29,22,7,30,16,14,80,3.3,2.9,3,1.8,1,1,1,0.4875,0.975,0,0.775,0.2,0.96875,0,1,0,271,271,nan,6,17,-3.666666667
158,7,5,3,6,6,6,3,Yes,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Prefer not to answer,No,Other,18,Urban,Prefer not to answer,Primarily heterosexual,Never married,24,30,32,26,31,20,11,9,23,17,6,28,17,11,71,3,3,2.7,2.7,0.75,0.875,0.833333333,0.025,0,0.05,0,0.05,0,0,0,0.0625,396.975,390.5625,422.625,3,8,-1.666666667
159,9,9,5,5,7,6,2.67,No,Male,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Buddhist,Yes,Mandarin,19,Small town,Prefer not to answer,Prefer not to answer,Divorced,22,33,30,18,30,17,11,6,22,15,7,27,15,12,66,3.1,2.7,3.2,3.7,1,1,1,0.4875,0.975,0,0.775,0.2,0.96875,0,1,0,484,484,nan,9,3,2
160,6,7,5,3,5,2,2.8,No,Female,African Canadian/Carribean Canadian/Black,Hindu,Yes,English,18,Urban,Prefer not to answer,Primarily heterosexual,Married,16,37,32,23,32,16,9,7,19,15,4,16,10,6,51,3.5,2.8,3.3,2.6,0.25,0.5,0.416666667,0,0,0,0,0,0,0,0,0,318.75,322.875,302.25,3,6,-1
161,9,3,2,7,8,2,3.16,Yes,Female,Caucasian/White,Catholic,Yes,English,18,Suburban,Moderate,Primarily heterosexual,Married,28,36,41,27,25,15,9,6,18,14,4,18,11,7,51,3.5,3.5,3.7,3.4,0.5,1,0.833333333,0.05,0,0.1,0.075,0.025,0,0.375,0,0.03125,305.55,291.84375,360.375,13,11,0.666666667
162,9,9,5,3,4,5,3.27,No,Female,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Muslim,Yes,Other,18,Urban,Moderate,Prefer not to answer,Married,24,42,27,29,32,19,12,7,17,14,3,24,13,11,60,3.2,2.6,3.1,2.7,0.75,1,0.916666667,0,0,0,0,0,0,0,0,0,350.05,358.5,316.25,0,0,0
163,9,1,3,8,7,7,3.46,No,Male,"South Asian (e.g. Indian, Sri Lankan, Pakistani, etc.)",Muslim,Yes,English,18,Suburban,Liberal,Primarily heterosexual,Married,18,25,23,15,34,22,15,7,24,19,5,26,15,11,72,3.1,3.1,3,3.1,0.25,1,0.75,0.0125,0,0.025,0,0.025,0,0,0,0.03125,295.325,295.75,293.625,14,5,3
164,9,9,4,2,1,8,3.15,Yes,Female,Middle Eastern/ North African,Prefer not to answer,No,Other,18,Suburban,Prefer not to answer,Other,Married,16,32,31,33,29,28,17,11,16,12,4,17,11,6,61,4.1,3.7,2.6,3,0,0.375,0.25,0.4875,0.975,0,0.775,0.2,0.96875,0,1,0,801,801,nan,16,34,-6
165,9,8,6,7,6,6,3.68,Yes,Female,"East Asian (e.g. Chinese. Korean, Vietnamese. etc.)",Buddhist,No,Mandarin,18,Small town,Moderate,Primarily heterosexual,Divorced,23,34,33,30,36,18,10,8,20,13,7,24,15,9,62,3.4,3.5,3.1,3.4,1,1,1,0.4875,0.725,0.25,0.7,0.275,0.8125,0.25,0.375,0.25,361.1818182,395.6666667,319.8,14,8,2
166,9,9,8,9,8,8,2.98,No,Male,Multi-racial,Other,No,English,19,Urban,Very liberal,Primarily heterosexual,Married,33,23,29,27,30,18,13,5,19,13,6,27,17,10,64,2.9,3,2.6,2.8,0.25,0.75,0.583333333,0.05,0,0.1,0,0.1,0,0,0,0.125,337.5,337.21875,338.625,13,23,-3.333333333
167,7,5,6,8,8,1,2.14,Yes,Female,African Canadian/Carribean Canadian/Black,Other,Yes,English,18,Suburban,Liberal,Primarily heterosexual,Other,25,36,31,19,37,25,16,9,23,19,4,24,15,9,72,3.8,3.4,3,3.2,0.5,0.75,0.666666667,0,0,0,0,0,0,0,0,0,323,324.96875,315.125,14,10,1.333333333
